Director,Movie IDs
Scott Reynolds,"[40961, 213985, 73952]"
Caroline Link,"[312, 1591, 8888, 799, 209266]"
Harry Elfont,"[15037, 19366]"
Deborah Kaplan,"[15037, 19366]"
Des McAnuff,"[50043, 17711, 265832]"
Lisa Cholodenko,"[37636, 13819, 39781, 289314]"
David Leland,"[17044, 28236, 46976, 14324, 331214]"
Lavinia Currier,[60951]
Majid Majidi,"[21334, 17078, 43774, 54254, 43767, 47100, 315859]"
Tim Kirkman,"[416437, 19965, 399417]"
Tiffanie DeBartolo,[32284]
Christopher Scott Cherot,"[51955, 15155]"
Manuel Pradal,"[47481, 59914]"
Tony Bancroft,[10674]
Barry Cook,"[10674, 51052, 77951]"
Marc Evans,"[136134, 16077, 20357, 313, 86274, 153021]"
Rob Bowman,"[846, 6278, 9947, 13064]"
Paddy Breathnach,"[12655, 17203, 14456, 15011, 359108]"
Chris Eyre,"[20862, 50123, 56412, 109894, 155191]"
Vincent Gallo,"[9464, 12703]"
Darren Aronofsky,"[473, 641, 1381, 12163, 44214, 86834]"
Susan Skoog,[102304]
Edward D. Wood Jr.,"[10513, 24018, 23020, 36489, 32623, 31286]"
Harry Beaumont,"[65203, 42614, 175035, 144613, 161315, 128006, 170234, 156320, 154515, 97327, 84912, 126418, 162874, 196789]"
Wesley Ruggles,"[42861, 34456, 35561, 120109, 36513, 184507, 54773, 120497, 114638, 97193, 101289, 132506, 52437, 174759]"
Edmund Goulding,"[33680, 27972, 56135, 24004, 46688, 19169, 22301, 123452, 43705, 53796, 102144, 178452, 85677, 4111, 44919, 77964, 120831]"
Frank Lloyd,"[56164, 12311, 75888, 52360, 126777, 104211, 171446, 50329, 104214, 56557]"
William Dieterle,"[43278, 29451, 19075, 31685, 30719, 32558, 78318, 28256, 74469, 88192, 109881, 43501, 27522, 36331, 50078, 126922, 50675, 109716, 158219, 80853, 235679, 99732, 95724, 61095, 97829, 29846, 40165, 151911, 45692]"
Laurence Olivier,"[23383, 43323, 24012, 22638, 277396]"
Robert Rossen,"[25430, 990, 17487, 46884, 60437, 42668, 37373, 19335, 86258]"
Cecil B. DeMille,"[27191, 53761, 6844, 166472, 49633, 43885, 70368, 63617, 29993, 50070, 58905, 43837, 85685, 53772, 43902, 72241, 24805, 83360, 161710, 83817, 92399, 115425, 70803, 173580, 109632, 53766, 174925, 117024, 415021]"
Delbert Mann,"[15919, 43136, 12708, 131313, 58995, 40894, 10912, 114875, 207681, 77960, 124058, 101226, 185263, 109475, 233204, 358199, 33730, 38427, 120522, 277631]"
Jerome Robbins,[1725]
Hugh Hudson,"[9443, 48958, 21311, 11002, 12701, 43990, 48336, 329718]"
Alex Cox,"[13820, 14924, 9698, 23750, 28448, 54837]"
Jim Henson,"[13597, 11639, 14900, 20785, 51302, 90582, 37376]"
John Hughes,"[2108, 11814, 15144, 9377, 2609, 12714, 2616, 11894]"
Jack Sholder,"[10014, 10384, 12476, 20307, 40952, 20674, 17803, 26623, 153102, 12594]"
Sean S. Cunningham,"[4488, 11607, 21148, 29865, 72508, 40217]"
Joseph Zito,"[9730, 15379, 12663, 15983, 44247]"
Danny Steinmann,"[9731, 14673, 40241]"
Tom McLoughlin,"[10225, 28370, 14782, 27769, 56744, 72240, 39433, 37935, 39446, 202831, 63483, 37432, 38878]"
John Carl Buechler,"[10281, 33061, 27244, 44909]"
Rob Hedden,"[10283, 73500]"
Rick Rosenthal,"[11281, 11442, 117179, 13633, 220690, 27738, 20564]"
Tommy Lee Wallace,"[10676, 18086, 238748]"
Dominique Othenin-Girard,"[11361, 17792]"
Paul Lynch,"[36599, 40990, 71181, 109610, 62768]"
Bruce Pittman,"[39929, 24732, 402857]"
Peter R. Simpson,[41828]
Ron Oliver,"[41828, 13358, 293205, 16412, 295887, 142635, 348634, 363484, 289520, 239018, 406052, 344123, 393656, 49350, 30351, 403330]"
Clay Borris,[41769]
John Lafia,"[11186, 41759, 21847, 53870]"
Jack Bender,"[11187, 113885, 35564, 217341]"
Tobe Hooper,"[609, 11954, 30497, 16337, 13555, 30062, 13559, 11343, 16764, 31909, 31578, 40466, 89445, 14228, 39195, 78247, 150004, 229138]"
Gary Sherman,"[10306, 23599, 24274, 63460, 3581, 95730]"
William Peter Blatty,"[11587, 18910]"
Theresa Connelly,[38509]
Michael Oblowitz,"[60033, 18248, 30806, 32612, 51215, 48333]"
Ronald Neame,"[551, 40160, 21489, 32030, 43139, 85058, 43048, 13765, 5179, 28270, 86168, 43791, 66022, 43369, 193873, 198312, 34000]"
Irwin Allen,"[551, 31638, 2160, 46878, 2982, 43252, 42996, 49326, 104989]"
Gary Nelson,"[16084, 9570, 9710, 19434, 33787, 6107]"
Vincent McEveety,"[22328, 22777, 12129, 14140, 80351, 20639, 4934, 31654, 46667, 63438, 103711, 56067, 161620, 226679]"
Jack Donohue,"[32611, 249264, 89702, 42716]"
Austen Jewell,[32611]
Graham Heid,"[3170, 72640]"
Norman Wright,[3170]
Adrian Lyne,"[9769, 4478, 535, 10998, 2291, 10068, 32020, 2251]"
David Nutter,"[9424, 189197, 331214]"
Tommy O'Haver,"[17539, 10050, 14442, 13008, 401743]"
Zhang Yuan,"[44322, 40974, 36615, 191476, 97943]"
Rupert Wainwright,"[13962, 10307, 791]"
Jeff Blyth,[65157]
Charles Jarrott,"[19379, 21294, 22522, 35101, 97519, 3024, 297853, 46067, 80844, 83105, 184578]"
Steven Hilliard Stern,"[40866, 53157, 146322, 61382, 6945, 72111, 20473]"
Burny Mattinson,"[9994, 14813]"
David Michener,[9994]
Kenny Ortega,"[10439, 15300, 10947, 13649, 11887, 13576, 277217, 37609, 377448, 417320]"
Fletcher Markle,"[37969, 83664, 23022, 249567]"
Nancy Meyers,"[9820, 3981, 6964, 1581, 22897, 257211]"
David Zucker,"[14013, 12151, 813, 37136, 37137, 8764, 2830, 4256, 4257, 13948]"
Sarah Kelly,[36606]
Sandra Goldbacher,"[96196, 26290, 20497]"
Jacques Tourneur,"[678, 25508, 29486, 27130, 25103, 28438, 30574, 37309, 18696, 32563, 34667, 96366, 111390, 114975, 47404, 42286, 120785, 27446, 69784, 38267, 94192]"
Peter Masterson,"[47908, 40555, 71034, 151069, 44287, 84071]"
Liliana Cavani,"[26648, 10955, 63186]"
István Szabó,"[11911, 17771, 29471, 31094, 18701, 79591, 29932, 42467]"
Jeremy Kagan,"[35144, 25773, 42570, 36912, 42213, 142984, 221135, 43275, 178541, 150004]"
Hendel Butoy,"[11135, 49948]"
John Lounsbery,"[11319, 72185]"
Alan Zaslove,[15969]
Toby Shelton,"[15969, 8965, 15400]"
Walter Murch,[13155]
Les Clark,"[10882, 24678, 19715]"
Eric Larson,[10882]
Harve Foster,[13850]
Xavier Koller,"[65158, 41834, 338072]"
Walt Disney,"[53565, 77022, 175518, 146730, 88018, 45665]"
Steven Lisberger,"[97, 14464, 22379, 19247]"
Ralph S. Singleton,[19158]
Ralph Bakshi,"[123, 29204, 12593, 15035, 14239, 16220, 27716, 52458, 32202, 30593]"
Stephen King,[9980]
Lewis Teague,"[10489, 10303, 33518, 166680, 10552, 39771, 2125, 102059, 150329, 90079, 103210, 71147]"
Fritz Kiersch,"[10823, 28410, 209369, 89909, 86337]"
Dan Kuenster,[11497]
Jesse Peretz,"[118452, 61112, 13171, 59968]"
John Hamburg,"[16155, 5966, 16538, 356305]"
Ulrike Koch,[48894]
Jerry Lewis,"[18331, 15788, 35189, 52122, 28333, 24062, 38773, 123961, 33733, 99377, 36818]"
Charles A. Nichols,"[15171, 13350, 66984, 164954]"
Iwao Takamoto,[15171]
Martin Rosen,"[11837, 30060]"
Phil Nibbelink,"[10380, 18890]"
Michael Chapman,"[13853, 18172]"
Ethan Wiley,"[37530, 25751, 28791]"
Jamie Uys,"[8393, 11937, 147729, 47962]"
Richard Martin,"[21661, 173793, 14053]"
Kevin Rodney Sullivan,"[33644, 21301, 11638, 74942]"
Tamara Jenkins,"[14662, 8272]"
Pupi Avati,"[125124, 57447, 57424, 42399, 38074, 238705, 56994, 12424, 45990, 60018, 64948, 60191, 59857, 61217, 42579, 56922, 293264, 371942]"
Bigas Luna,"[115872, 42002, 4507, 48336, 74052]"
Chuck Parello,"[39930, 55888]"
John De Bello,"[2182, 15482, 36896, 36779]"
Peter George,[28070]
Stephen Norrington,"[36647, 8698, 1702, 47657]"
Randa Haines,"[17915, 1890, 26142, 25527, 40509, 158939]"
Alan Cohn,[14557]
Pat Proft,[9417]
Brad Anderson,"[41469, 10972, 22230, 4553, 6687, 43552, 158011, 207933]"
Sarah Kernochan,"[19381, 38616]"
Vincent Ward,"[34637, 12159, 36709, 24671]"
Bill Plympton,"[51942, 30863, 42521, 193726, 228692, 41313, 27300, 400465, 416445]"
Robert Bierman,"[54795, 7091]"
François Ozon,"[46748, 33828, 4973, 1958, 302, 12480, 46761, 4974, 2566, 11801, 22136, 51971, 51447, 121875, 184314, 283726, 377263, 27208, 451955]"
Bob Saget,"[14577, 12486]"
William Nicholson,[38621]
Jack Hulbert,[75793]
Paul Murray,[75793]
André Charlot,[75793]
Francis Lee,"[143750, 428493]"
Vincenzo Natali,"[431, 10133, 10981, 2266, 37707, 166271, 193726, 312497]"
Timothy Hutton,[31641]
Troy Byer,"[223318, 21542]"
Lance Hool,"[69848, 12764, 27786]"
Mark Steven Johnson,"[22796, 9480, 1250, 13477, 77663]"
Robert Towne,"[22256, 10396, 27609, 1967]"
Tony Bill,"[21873, 26333, 71881, 78133, 77073, 16814, 9664]"
Lewis John Carlino,"[21500, 21887, 92298]"
Tamar Simon Hoffs,[37818]
Paul Brickman,"[91217, 9346]"
Peter Sellars,[77314]
Silvio Narizzano,"[218624, 42719, 42735, 169869, 198652]"
Charles Band,"[48311, 47364, 27244, 5677, 26961, 29168, 10089, 84152, 40740, 29542, 139659, 231082, 211914, 296121, 12759, 1877, 79500, 72754, 29798, 24862, 27296]"
Jerry Schatzberg,"[44772, 22288, 27554, 31587, 60631, 47906, 48336, 73931, 54658, 198521]"
Carl Schultz,[11082]
Dan Aykroyd,[11933]
Terry Hughes,"[20096, 11949, 24745, 147055, 110433]"
David Veloz,[22318]
Jerzy Domaradzki,[122289]
Lance Mungia,"[24746, 16456]"
Ramin Niami,"[193103, 253851]"
Jamie Blanks,"[9877, 10984, 14459, 20323]"
David Dobkin,"[26618, 6038, 9522, 5375, 49520, 205587]"
Shekhar Kapur,"[14785, 4518, 9093, 4517, 12572, 21462, 41903]"
Lindsay Anderson,"[14794, 26639, 49815, 18774, 42464, 88264, 158741]"
Piers Haggard,"[3486, 30789, 26774, 273160, 143769, 123623]"
Richard Quine,"[3486, 2006, 22829, 26685, 78331, 45608, 40957, 60966, 85926, 49844, 31555, 60387, 77553, 1732, 34652, 26817]"
Peter Sellers,[3486]
Gordon Douglas,"[11071, 43340, 24130, 18643, 17696, 26204, 20628, 34732, 42636, 42630, 49508, 46260, 39287, 68143, 18146, 30183, 197926, 61501, 56533, 108003, 32142, 111317, 74420, 26385, 32560, 153997, 74529, 95012, 72160, 102195, 90358, 100351, 102038, 242631]"
Susanna Styron,[73351]
Eric Darnell,"[8916, 953, 10527, 80321, 270946]"
Tim Johnson,"[8916, 14411, 7518, 50393, 228161]"
John Pieplow,[27791]
John Maybury,"[4975, 9667, 14061]"
Marc Levin,"[37532, 40879, 33241, 19244, 213342, 298432]"
Arthur Marks,"[85837, 87774, 56539, 44690, 92309, 84658]"
Stefan Ruzowitzky,"[1039, 1698, 31668, 7862, 97614, 295011, 410212]"
Evan Dunsky,[108316]
William Ryan,[63709]
Gary Ross,"[2657, 4464, 70160, 316152]"
Bennett Miller,"[32326, 398, 60308, 87492]"
Roberto Benigni,"[637, 22826, 10599, 12776, 10846, 43645]"
Trey Parker,"[8675, 9473, 3989, 13063, 16023, 16487, 16486]"
John Harrison,"[20701, 876, 42904, 19599]"
Tony Kaye,"[73, 44260, 74308]"
S.R. Bindler,"[18603, 13827]"
Richard LaGravenese,"[46889, 38868, 1646, 2266, 6023, 109491, 206296]"
Hype Williams,[12888]
Martin Brest,"[297, 9013, 9475, 90, 8046, 65066]"
Bruce McDonald,"[21589, 96461, 8468, 41940, 16725, 23963, 44158, 241927, 63700]"
J. Todd Anderson,[8336]
Andrei Konchalovsky,"[11893, 46786, 9618, 77985, 72996, 73376, 17266, 36108, 48336, 49852, 69040, 64264, 149170, 91261, 283703, 159479, 143887, 48676, 68553]"
Eugene Corr,[123056]
Bryan Forbes,"[12223, 16176, 3092, 29586, 62143, 34282, 76000, 70635, 87151, 69065]"
James D. Parriott,[41817]
Norton Virgien,"[14444, 20694, 23903]"
Igor Kovalyov,"[14444, 168202, 333372]"
Walter Salles,"[666, 36093, 57811, 47140, 1653, 9009, 2266, 8902, 36108, 83770, 299751]"
Predrag Antonijević,"[2042, 290789]"
Kirk Jones,"[10162, 11283, 26171, 20700, 76494, 302688]"
Thomas Vinterberg,"[309, 12777, 10913, 46789, 103663, 250734, 122368, 308409]"
Ishirô Honda,"[1678, 1680, 1682, 39462, 18983, 12516, 35072, 43226, 19742, 52302, 19545, 19333, 39410, 3107, 15766, 39276, 3146, 62472, 43113, 3160, 38221, 43015, 49186]"
Koji Hashimoto,[39256]
R.J. Kizer,"[39256, 22572]"
Merian C. Cooper,"[244, 44657, 115132, 104485]"
Ernest B. Schoedsack,"[244, 39314, 1994, 43149, 3593, 44657, 115132, 104485]"
John Guillermin,"[10730, 31947, 5919, 15873, 494, 4192, 24264, 19728, 86225, 64158, 94201, 87514, 4930, 83957, 77794, 43205, 43016, 36631, 225834]"
Susan Seidelman,"[8130, 11157, 32058, 86093, 170400, 89872, 94066, 170752, 63877]"
John Glen,"[707, 2038, 699, 709, 708, 700, 41682, 46943]"
Jerry Paris,"[10157, 12118, 25109, 25441, 242097, 66485, 47646, 92292]"
Jim Drake,"[10587, 12236]"
Alan Myerson,"[11825, 41280, 74057]"
Peter Bonerz,[11895]
George Miller,"[9447, 9659, 8810, 9355, 2007, 6069, 15301, 9836, 65759, 76341]"
Dean Parisot,"[12257, 926, 7552, 404211, 146216, 47057]"
Neil Abramson,"[37536, 22819]"
Peter Berg,"[10029, 10159, 13416, 4349, 8960, 37178, 44833, 193756, 296524, 388399]"
Ferzan Ozpetek,"[27104, 23550, 29987, 12432, 40794, 47953, 43584, 97899, 22373, 258322]"
Troy Miller,"[9745, 10152, 14923, 32182, 133704, 292342, 29144, 20837, 416290, 355335, 361750, 13488]"
Brenda Chapman,"[9837, 62177]"
Steve Hickner,"[9837, 5559]"
Glenn A. Jordan,"[110643, 42146, 27678, 15740, 143247, 4479, 133021, 79818, 57681, 58242]"
George Seaton,"[11881, 10671, 43013, 2438, 43137, 37684, 37468, 218212, 85648, 85840, 111042]"
John D. Hancock,"[24951, 42459, 28446, 16154, 96333, 85511]"
Sylvester Stallone,"[1367, 1371, 1374, 10805, 23916, 1246, 7555, 27578]"
Jack Fisk,"[215875, 96966, 21030]"
Alan Metter,"[15596, 16263, 29739, 11546, 56195]"
Paul Greengrass,"[76857, 4107, 2502, 9829, 2503, 22972, 109424, 77292, 324668]"
Terrence Malick,"[8741, 16642, 3133, 11400, 8967, 60281, 86835, 86822, 330947]"
Maya Angelou,[125582]
Anthony Drazan,"[24525, 75490, 70489]"
J.S. Cardone,"[140897, 12484, 7295, 10854, 72317, 58200, 52894, 80473]"
Anand Tucker,"[46992, 2610, 45791, 25195]"
Willard Carroll,[825]
Shane Meadows,"[22913, 22200, 12877, 22908, 11798, 14298, 25048, 193524]"
Brian Robbins,"[14709, 20697, 20857, 14817, 13505, 10067, 9757, 11260, 72358]"
John Bruno,"[9423, 276909]"
Rod Amateau,"[14443, 38923, 84771]"
Willard Huyck,"[10658, 11221, 24923]"
Tibor Takács,"[6917, 40729, 40353, 23736, 15674, 164331, 64218, 57203, 17306, 112947, 35891, 19312]"
Kurt Neumann,"[11815, 37744, 43230, 256118, 68097, 55872, 121959, 272255, 238985, 55873]"
Chris Walas,"[10344, 186869]"
Mark L. Lester,"[2620, 11495, 11564, 13154, 10999, 75759, 103201, 51911, 127756, 23535, 71996, 44014, 71763, 49172, 244852, 67758]"
Jeff Burr,"[25018, 26957, 26958, 30666, 35977, 39895, 28646, 28640, 180886, 104185]"
Kim Henkel,[16780]
Glen Pitre,"[274253, 16997]"
Peter Faiman,"[9671, 25330]"
John Cornell,"[9396, 25943]"
Jeff Kanew,"[11038, 14052, 22102, 41805, 27590, 53928, 51261, 106729]"
Anne Fontaine,"[6187, 60608, 38376, 15342, 11156, 111190, 38049, 272435, 78476, 364051]"
Álex de la Iglesia,"[10722, 25466, 11477, 57544, 9845, 37748, 9534, 12245, 56812, 84797, 179538, 15021, 283317, 335053, 420648]"
Robert Iscove,"[10314, 10571, 31246, 42884, 44117, 16004, 38546, 19792, 348507, 315134]"
Nancy Savoca,"[125548, 14667, 111605, 119907, 35203, 102640]"
Joe Carnahan,"[47139, 11022, 7516, 34544, 75174, 227300, 38190, 38700]"
Michael Powell,"[11167, 56137, 25037, 12232, 19542, 16391, 28162, 49225, 79684, 44407, 21735, 15696, 46096, 44334, 17591, 43780, 75363, 54797, 79401, 47197, 130881, 130882, 31486]"
Daphna Kastner,[170187]
Brian Helgeland,"[2112, 9476, 9616, 109410, 276907, 421550]"
Mark Tarlov,[16172]
Myles Berkowitz,[111794]
James Moll,"[20595, 61488, 264471, 41605, 278544]"
René Laloux,"[16306, 22501, 22500, 116352, 69559, 116351, 69328, 116350]"
Julia Sweeney,"[82865, 40594]"
Darren Stein,"[18892, 174323]"
Samira Makhmalbaf,"[43978, 28988, 1926, 43969, 129277]"
Risa Bramon Garcia,[15256]
Michael Davis,"[15209, 10035, 4141, 20648]"
Richard Wenk,"[26425, 34223, 106263, 24649]"
Shôhei Imamura,"[42113, 44768, 1926, 20506, 68528, 185987, 42170, 42143, 42718, 49571, 85692, 110748, 42984, 31104, 50696, 46149]"
Mary Lambert,"[8913, 10906, 36047, 10292, 170399, 56171, 34205, 27122, 201430, 204821]"
David Price,"[25748, 37019]"
James D.R. Hickox,"[25749, 57326, 28346]"
William Castle,"[15856, 26857, 28295, 29393, 29756, 29394, 29402, 29396, 74924, 29399, 86416, 29403, 61221, 91343, 28668, 128606, 29400, 29510, 85346, 26829, 70151, 388910, 29487, 29490, 29829, 46196, 206099, 29390, 29398]"
Jack Smight,"[27932, 11422, 42633, 26268, 25763, 25874, 35671, 84834, 90517, 169832, 111981]"
Jerry Jameson,"[7227, 24575, 28159, 83723, 15494, 260893, 121727, 264098, 202639, 331190, 72251]"
James Goldstone,"[10670, 47942, 121923, 42621, 219302, 62996, 279006, 284467, 42242]"
Michael Crichton,"[2362, 11223, 9507, 21874, 41938, 11583]"
Ted Post,"[1685, 4929, 28156, 10648, 42205, 32052, 2988, 217085, 180929, 252853]"
Don Taylor,"[1687, 10766, 8738, 42473, 38670, 26932, 50953, 42789, 325240]"
Corey Allen,"[166680, 202973]"
Mark Robson,"[11123, 21876, 28528, 42541, 37451, 3055, 43236, 24111, 30348, 4025, 25918, 35580, 80316, 20945, 40765, 114083, 109887, 109258, 1849, 90807, 138699, 36375, 85814]"
David Lowell Rich,"[29723, 29741, 33543, 121401, 22058, 279984, 238124, 264080]"
Roger Kumble,"[796, 11812, 5458, 10033, 13493, 35169]"
Guy Ritchie,"[100, 107, 12779, 10851, 13809, 10528, 58574, 22599, 203801, 274857]"
Adam Bernstein,"[47501, 33783, 30057]"
P.J. Castellaneta,[84586]
Stuart Burkin,[107946]
Katt Shea,"[7341, 9264]"
Christopher Roberts,[10350]
Bob Balaban,"[31503, 27607, 38163, 209802, 243462]"
Wolf Rilla,[11773]
Anton Leader,[30202]
Bob Clark,"[22345, 24081, 850, 10246, 19698, 16938, 34374, 24558, 31117, 16551, 20842, 38996, 130917, 71320, 81828, 42303, 27969]"
Robert DeFranco,[53685]
Gaspar Noé,"[1567, 979, 1568, 34647, 208478, 94904, 191476, 292431]"
Katja von Garnier,"[11526, 49007, 10075, 233639]"
Marshall Herskovitz,"[8583, 38749]"
Barry J. Hershey,[123728]
Maurice Joyce,[16508]
Sam Miller,"[125123, 87683, 136835]"
Tony Goldwyn,"[28029, 12658, 7511, 45094]"
Gil Junger,"[4951, 11469, 15775, 37269, 73108, 15531, 52060, 39285, 353609]"
Carlos Saura,"[65749, 42020, 170767, 41806, 42106, 51857, 42139, 114333, 52998, 26824, 25774, 54236, 107287, 102368, 29008, 105584, 47211, 102428, 91950, 359641, 268652]"
Erick Zonca,"[9840, 7351, 116751, 309929]"
Marion Vernoux,"[186705, 67384, 197936, 70794]"
Philip Saville,"[30950, 30973, 40927, 250096, 261439]"
Hilary Brougher,"[70687, 20308, 286971]"
Christopher Nolan,"[11660, 77, 320, 272, 1124, 155, 27205, 49026, 157336, 43629, 43629, 374720]"
Dave Meyers,"[27455, 8398]"
Julio Médem,"[1414, 2441, 1364, 2460, 2444, 2588, 48650, 94904, 280840]"
George Haas,[114719]
Olivier Ducastel,"[25512, 21488, 349, 111481, 382892]"
Jacques Martineau,"[25512, 21488, 349, 111481, 382892]"
Bradley Battersby,[143299]
Alejandro Amenábar,"[1902, 1933, 9299, 1913, 26428, 241257]"
Dariusz Jabłoński,[445590]
James Merendino,"[6396, 36984, 301233, 194188, 12831]"
Ho Meng-Hua,"[42230, 88922, 107891, 107828, 67337, 62071, 52854]"
Jennifer Baichwal,"[74140, 24582, 215032, 72485]"
Rodman Flender,"[6552, 18009, 65058, 41301]"
Simon Shore,[24584]
Wu Tian-Ming,[25471]
Tony Bui,"[4154, 321621]"
Thom Eberhardt,"[18462, 12582, 17190, 14361, 30155, 29611, 38966]"
Jim Wynorski,"[28941, 40446, 19142, 86483, 40028, 51422, 28218, 28751, 30654, 83188, 9940, 115084, 30817, 54928, 95493, 31954, 92787, 28138, 55949, 28509, 335409, 28529, 86254, 125077]"
Rob Sitch,"[13852, 5257, 88478]"
Linda Kandel,[140519]
Paul Quinn,[25232]
Joan Chen,"[33194, 10641]"
David Raynr,"[53862, 16222, 20337, 135652, 414743]"
Hirokazu Koreeda,"[17962, 18872, 2517, 20525, 25050, 25053, 25051, 79382, 177945, 315846, 92691, 374671]"
Daniel Lee,"[9460, 14538, 34179, 300168, 18816, 157239, 411442, 61187, 45505]"
David Moreton,[4927]
Leslie Woodhead,[122190]
Bud Greenspan,[122190]
Peter Chan,"[31342, 37185, 14392, 54117, 70057, 196325, 44458]"
Amos Poe,"[95627, 124167, 47219, 5546, 46136]"
Wojciech Has,"[8785, 45698, 81315, 132141, 105760]"
Karl Freund,"[15849, 28261]"
Terence Fisher,"[18990, 3079, 39891, 11791, 3127, 11868, 3117, 3075, 17102, 23220, 54801, 28667, 28752, 77669, 100656, 38962, 28763, 48407, 38964, 28770, 115972, 124521, 124527, 85611, 3025, 3104]"
Leslie Goodwins,"[29242, 351365, 224162]"
Reginald Le Borg,"[29243, 38273, 64076, 171861, 28437, 31024, 64075, 29060, 46184, 193460, 186775, 175998, 84710]"
Christy Cabanne,"[31498, 31510, 244447, 63787, 52035, 106113]"
Frank Perry,"[15660, 42261, 124963, 33564, 35151, 109667, 38096, 31677, 83147, 85510, 84796]"
Richard Lester,"[8536, 9531, 704, 14831, 29048, 41946, 62001, 10786, 29805, 12310, 17768, 42634, 2926, 54302, 37598, 63848, 42744, 49876, 26509]"
Sidney J. Furie,"[11411, 11037, 11955, 28737, 15247, 24740, 23148, 19087, 34012, 27521, 95140, 28280, 12255, 44721, 67669, 188102, 41497, 235092, 38132, 58028, 161565, 38162, 253112, 172396, 140008]"
Tod Browning,"[138, 136, 27503, 28910, 27506, 27505, 64852, 29320, 111302, 118131, 162678, 108632, 228647, 194310]"
Erle C. Kenton,"[30793, 3103, 3074, 3031, 131732, 49092]"
Rowland V. Lee,"[3077, 15401, 43691, 243565, 122709, 80086, 52359, 286402]"
Roy William Neill,"[3076, 50553, 44383, 20298, 20408, 18706, 34327, 20417, 1773, 33421, 27003, 29126, 50401, 33419]"
Robert Siodmak,"[32023, 11570, 27452, 14638, 22112, 44041, 37992, 35404, 347, 26530, 38683, 25413, 147886, 20362, 43269, 103396]"
George Waggner,"[13666, 40683, 39407, 55308, 84719, 109109, 26801, 43009]"
Philippe Mora,"[29794, 94857, 28774, 32595, 40219, 60269, 57124, 96404, 90785, 62347, 252682, 71016]"
Jack Arnold,"[9077, 19483, 10973, 31682, 12649, 51997, 43116, 52841, 41749, 37183, 217197, 88390, 115054, 40761]"
Jim Sharman,"[36685, 27997]"
Mikel Conrad,[43391]
Andrew Solt,"[30168, 26723, 109264]"
Malcolm Leo,"[30168, 109264, 102814]"
Christian Nyby,"[10785, 281180]"
Byron Haskin,"[8974, 6646, 25952, 23051, 7348, 61988, 23115, 145878, 44969, 27035, 27036, 41725, 61903]"
Robert Gordon,"[29959, 319067, 45960]"
Don Siegel,"[11549, 26170, 12584, 984, 18639, 11916, 10734, 24229, 31906, 27331, 32041, 79008, 22090, 60547, 19998, 4931, 24508, 35123, 28023, 36522, 32050, 35917, 155208, 49375, 148784, 242382, 35926]"
Fred F. Sears,"[18158, 36089, 44545, 124429, 277809, 111421, 106042, 292893, 36463, 93061, 189243, 343972, 72823, 92728]"
Roger Corman,"[27625, 24452, 29056, 28501, 29030, 25319, 29074, 23439, 32569, 26946, 30137, 31581, 22694, 22642, 29235, 42725, 3072, 27545, 31655, 29071, 43119, 79827, 42702, 84285, 27344, 76399, 48202, 28735, 4949, 29058, 29032, 97784, 187790, 29066, 71520, 85854]"
Virgil W. Vogel,"[41516, 67493, 43716]"
Josef Rusnak,"[1090, 15071, 13988, 23174, 87293]"
Theo Angelopoulos,"[24858, 47795, 37952, 22549, 36108, 689, 48336, 47792, 85769, 51735, 48210, 114570, 47432, 111988, 114645]"
María Ripoll,"[55912, 15104, 91099, 300601]"
Kristi Jacobson,"[84198, 84198]"
Lori Silverbush,"[84198, 78307, 84198]"
William Roth,[100568]
Robert Meyer Burnett,[13533]
Alain Zaloum,[265966]
Yvan Le Moine,[91598]
Chris Buck,"[37135, 9408, 109445, 326359]"
Andrew J. Kuehn,[68426]
Tom Tykwer,"[104, 9301, 10575, 781, 1427, 2266, 4959, 53256, 83542, 270010, 11193]"
Roger Nygard,"[15800, 22792, 24703, 52058]"
Rowan Woods,"[13821, 9993, 16056]"
Francis Veber,"[9421, 11444, 31608, 19123, 10484, 7229, 21427, 56648, 18916, 114726, 54471, 30163]"
John Tatoulis,"[67067, 43757]"
Scott Ziehl,"[125263, 5460, 34601, 31013, 18969, 17144]"
Leos Carax,"[2767, 35717, 63418, 64131, 8938, 103328, 191476]"
Olivier Assayas,"[78568, 64310, 24488, 25355, 39851, 2266, 14735, 8282, 64901, 36108, 43434, 122089, 246860, 340676]"
Chris Weitz,"[2105, 16300, 245, 2268, 18239, 55720]"
Paul Weitz,"[2105, 16300, 245, 1901, 9310, 24418, 39451, 78571, 144340, 309304]"
Mark Pellington,"[1073, 2637, 118075, 37003, 13107, 75345, 396810]"
Tim Hill,"[10208, 34549, 9513, 6477, 50359, 300441]"
Daniel Myrick,"[2667, 22551, 14878, 128748, 14660]"
Eduardo Sánchez,"[2667, 14458, 128748, 159117, 74505, 124470, 24330]"
Rick Famuyiwa,"[16158, 37964, 34563, 308639, 348390]"
Michael Patrick Jann,[10490]
David Kellogg,"[332, 1496]"
Jim Fall,"[1812, 18736, 82099]"
Kinka Usher,[9824]
Michael Polish,"[33430, 196859, 32235, 5172, 11388, 156277, 351043, 77910, 343795, 385317]"
François Truffaut,"[147, 1628, 1627, 1716, 12579, 1675, 1714, 1818, 255, 1719, 4191, 1829, 1660, 1421, 258, 259, 2455, 1651, 42513, 8070, 35847, 256, 4683, 45948]"
Gene Saks,"[32060, 17887, 11356, 28289, 42483]"
